LOCATION,HWF_0010,HWF_0010-footnote,HWF_0010-footnote-short,HWF_0006,HWF_0006-footnote,HWF_0006-footnote-short,HWF_0001,HWF_0001-footnote,HWF_0001-footnote-short,MDG_0000000003_15_19,MDG_0000000003_15_19-footnote,MDG_0000000003_15_19-footnote-short,SDGSUICIDE,SDGSUICIDE-footnote,SDGSUICIDE-footnote-short,FINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_10_POP-footnote,FINPROTECTION_CATA_TOT_10_POP-footnote-short,FINPROTECTION_CATA_TOT_25_POP,FINPROTECTION_CATA_TOT_25_POP-footnote,FINPROTECTION_CATA_TOT_25_POP-footnote-short,MDG_0000000003_10_14,MDG_0000000003_10_14-footnote,MDG_0000000003_10_14-footnote-short,SDGFPALL,SDGFPALL-footnote,SDGFPALL-footnote-short,SDGHEPHBSAGPRV,SDGHEPHBSAGPRV-footnote,SDGHEPHBSAGPRV-footnote-short,SDGPOISON,SDGPOISON-footnote,SDGPOISON-footnote-short,WHOSIS_000002_BTSX,WHOSIS_000002_BTSX-footnote,WHOSIS_000002_BTSX-footnote-short,WHOSIS_000002_FMLE,WHOSIS_000002_FMLE-footnote,WHOSIS_000002_FMLE-footnote-short,WHOSIS_000002_MLE,WHOSIS_000002_MLE-footnote,WHOSIS_000002_MLE-footnote-short,HWF_0014,HWF_0014-footnote,HWF_0014-footnote-short,M_Est_tob_curr_std,M_Est_tob_curr_std-footnote,M_Est_tob_curr_std-footnote-short,MDG_0000000025,MDG_0000000025-footnote,MDG_0000000025-footnote-short,WHS4_100,WHS4_100-footnote,WHS4_100-footnote-short,MDG_0000000020,MDG_0000000020-footnote,MDG_0000000020-footnote-short,SDGWSHBOD,SDGWSHBOD-footnote,SDGWSHBOD-footnote-short,SDGHIV,SDGHIV-footnote,SDGHIV-footnote-short,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE-footnote,MALARIA_EST_INCIDENCE-footnote-short,NCDMORT3070,NCDMORT3070-footnote,NCDMORT3070-footnote-short,SA_0000001688,SA_0000001688-footnote,SA_0000001688-footnote-short,MDG_0000000007,MDG_0000000007-footnote,MDG_0000000007-footnote-short,MCV2,MCV2-footnote,MCV2-footnote-short,SDGAIRBODA,SDGAIRBODA-footnote,SDGAIRBODA-footnote-short,WHOSIS_000003,WHOSIS_000003-footnote,WHOSIS_000003-footnote-short,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED-footnote,UHC_INDEX_REPORTED-footnote-short,SDGIHR2021,SDGIHR2021-footnote,SDGIHR2021-footnote-short,PCV3,PCV3-footnote,PCV3-footnote-short,MDG_0000000026,MDG_0000000026-footnote,MDG_0000000026-footnote-short,RS_198,RS_198-footnote,RS_198-footnote-short,SDGNTDTREATMENT,SDGNTDTREATMENT-footnote,SDGNTDTREATMENT-footnote-short,WHOSIS_000001_BTSX,WHOSIS_000001_BTSX-footnote,WHOSIS_000001_BTSX-footnote-short,WHOSIS_000001_FMLE,WHOSIS_000001_FMLE-footnote,WHOSIS_000001_FMLE-footnote-short,WHOSIS_000001_MLE,WHOSIS_000001_MLE-footnote,WHOSIS_000001_MLE-footnote-short,SDGODA01,SDGODA01-footnote,SDGODA01-footnote-short,SDGHPVRECEIVED,SDGHPVRECEIVED-footnote,SDGHPVRECEIVED-footnote-short,SUD_TREATMENTSERVICES_COVERAGE_ALCOHOL,SUD_TREATMENTSERVICES_COVERAGE_ALCOHOL-footnote,SUD_TREATMENTSERVICES_COVERAGE_ALCOHOL-footnote-short,AMR_INFECT_MRSA,AMR_INFECT_MRSA-footnote,AMR_INFECT_MRSA-footnote-short,AMR_INFECT_ECOLI,AMR_INFECT_ECOLI-footnote,AMR_INFECT_ECOLI-footnote-short,SUD_TREATMENTSERVICES_COVERAGE_DRUGS,SUD_TREATMENTSERVICES_COVERAGE_DRUGS-footnote,SUD_TREATMENTSERVICES_COVERAGE_DRUGS-footnote-short,SDGHEALTHFACILITIESESSENTIALMEDS,SDGHEALTHFACILITIESESSENTIALMEDS-footnote,SDGHEALTHFACILITIESESSENTIALMEDS-footnote-short
Kiribati,0.68,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,36.28,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,50.6,Kiribati 2018-2019 Multiple Indicator Cluster Survey,,17.5,,,,,,,,,1.8,Kiribati 2018-2019 Multiple Indicator Cluster Survey,,53.1,2018-2019.    Kiribati 2018-2019 Multiple Indicator Cluster Survey,,1.6,,,1.7,,,53.6,,,55.5,,,51.8,,,0.25,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,39.7,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2018-19. This is a projection.,,92,"medical doctor, nurse/midwife, medical assistant Kiribati Social Development Indicator Survey 2018-19, Survey Findings Report. South Tarawa, Kiribati: National Statistics Office, United Nations Children’s Fund (UNICEF); 2019. ",,90,,,533,,,37.4,,,No data,,,,,,44.1,,,1.0,,,55.1,,,47,,,248,,,22.4,,,48,,,42,,,91,,,80,,,6.2,,,128 779,Aggregation across diseases,,60.9,,,64.0,,,57.8,,,43.62,,,54,,,,,,,,,,,,,,,,,
Kuwait,8.1,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,45.45,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,22.73,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,0.4,Registration National Statistics & WPP2024,,2.3,,,,,,,,,0,Registration National Statistics & WPP2024,,,,,0.0,,,0.4,,,67.8,,,68.4,,,67.5,,,9,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,19.9,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2014. This is a projection.,,99, Annual Bulletin for Vital Statistics - Births and Deaths 2022. Kuwait City: Central Statistical Bureau (Office) [Kuwait]; 2023.,,99,,,9.7,,,0.8,,,<0.1,,,,,,9.3,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,0.1,,,8.8,,,91,,,45,,,4.8,,,78,,,97,,,99,,,8,,,9.2,,,17,Aggregation across diseases,,79.0,,,81.8,,,77.3,,,,,,,,,,,,59.1,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,45.5,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
Kyrgyzstan,1.56,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,40.76,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,15.68,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,29.0,Registration National Statistics & WPP2024,,6.8,,,4.91,,,0.83,,,0.0,Registration National Statistics & WPP2024,,64.6,2018.    Kyrgyzstan 2018 Multiple Indicator Cluster Survey,,0.2,,,0.7,,,63.4,,,65.5,,,61.3,,,0.25,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,27.3,The most recent survey was conducted in 2013. This is a projection.,,100,"Medical doctor, Nurse/Midwife, Feldsher Kyrgyz Republic Multiple Indicator Cluster Survey 2023, Survey Findings Report. Bishkek, Kyrgyzstan: National Statistical Committee of the Kyrgyz Republic and UNICEF; 2024.",,86,,,112,,,2.3,,,0.11,,,,,,18.8,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,3.9,,,17.0,,,93,,,124,,,10.8,,,69,,,49,,,91,,,42,,,13.3,,,2 169 854,Aggregation across diseases,,72.2,,,75.8,,,68.5,,,4.23,,,46,,,,,,,,,,,,,,,0,* data from only capital city ,
Lao People's Democratic Republic,0.76,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,10.27,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,3.31,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,89.0,Lao People's Democratic Republic 2023 Multiple Indicator Cluster Survey,,4.6,,,8.4,,,4.12,,,,,,72.3,2017.    Lao People's Democratic Republic 2017 Social Indicator Survey II,,0.7,,,0.3,,,60.4,,,61.6,,,59.3,,,2.27,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,27.2,The most recent survey was conducted in 2017. This is a projection.,,80," Lao Statistics Bureau. 2024. Lao Social Indicator Survey 2023 – Key Indicators Report, Vientiane,
Lao People’s Democratic Republic. Lao Statistics Bureau.",,84,,,132,,,20.5,,,0.18,,,0.29,,,26.5,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,11.2,,,39.0,,,68,,,196,,,20.0,,,52,,,55,,,81,,,112,,,16.4,,,2 025 831,Aggregation across diseases,,68.2,,,70.5,,,66.1,,,6.89,,,44,,,,,,55.9,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,52.6,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
Latvia,7.08,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,43.74,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,33.98,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,8.7,Registration Eurostat,,15.2,,,21.41,,,5.7,,,0.0,Registration Eurostat,,,,,0.3,,,0.8,,,63.8,,,66.7,,,60.8,,,8.54,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,33.9,The most recent survey was conducted in 2020. This is a projection.,,98, Health Statistics Database - Maternal and child health care (Vesel?bas statistikas datub?ze). Latvia; 2023   (https://statistika.spkc.gov.lv/pxweb/en/Health/Health__Mates_berna_veseliba/MCH010_dzemdibu_raditaji_regioni.px/ accessed 21 September 2023),,98,,,16,,,2.6,,,0.15,,,,,,22.7,,,14.7,,,3.0,,,92,,,40,,,1.5,,,75,,,68,,,95,,,19,,,9.8,,,7,Aggregation across diseases,,73.2,,,77.9,,,68.5,,,,,,71,,,,,,3.8,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,16.2,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,2.1,,,,,
Lebanon,12.5,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,19.18,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,26.8,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,0.7,,,,,,,,,,,,,,,0.1,,,0.2,,,63.2,,,64.4,,,62.1,,,16.3,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,34.3,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2016-17. This is a projection.,,,,,55,,,10,,,2.4,,,<0.1,,,,,,11.9,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,1.6,,,18.3,,,53,,,,,,11.1,,,73,,,70,,,65,,,15,,,9.7,,,134,Aggregation across diseases,,74.3,,,77.5,,,71.2,,,17.53,,,,,,,,,52.5,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,37.2,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
Lesotho,0.37,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,17.56,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,2.35,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,53.2,Registration National Statistics & WPP2024,,28.7,,,,,,,,,0.9,Registration National Statistics & WPP2024,,82.8,2018.    Lesotho 2018 Multiple Indicator Cluster Survey,,1.2,,,3.5,,,44.6,,,46.4,,,43.1,,,1.12,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,24.3,The most recent survey was conducted in 2018. This is a projection.,,89," Lesotho Demographic and Health Survey 2023–24: Final Report. Maseru, Lesotho, and Rockville, Maryland, USA: Ministry of Health and ICF; 2024.",,87,,,664,,,108.1,,,3,,,,,,36.3,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,3.8,,,58.9,,,82,,,291,,,28.7,,,53,,,42,,,87,,,478,,,21.6,,,387 421,Aggregation across diseases,,51.5,,,54.6,,,48.7,,,5.11,,,64,,,,,,,,,,,,,,,,,
Liberia,0.02,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,10.07,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,1.78,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,130.8,Liberia 2022 Malaria Indicators Survey,,6.0,,,6.75,,,1.13,,,6.1,Liberia 2022 Malaria Indicators Survey,,47.5,2019-2020.    Liberia 2019-2020 Demographic and Health Survey,,4.7,,,0.8,,,54.0,,,53.4,,,54.5,,,0.32,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,8.2,The most recent survey was conducted in 2013. This is a projection.,,84,"doctor, nurse, midwife, and physician assistant Liberia Institute of Statistics and Geo-Information Services (LISGIS), Ministry of Health [Liberia], and ICF. 2021. Liberia Demographic and Health Survey 2019-20. Monrovia, Liberia and Rockville, Maryland, USA: Liberia Institute of Statistics and Geo Information Services (LISGIS), Ministry of Health, and ICF",,82,,,308,,,34.6,,,0.15,,,186.80,,,22.0,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,2.8,,,72.9,,,60,,,155,,,29.6,,,45,,,48,,,80,,,628,,,15.3,,,3 762 030,Aggregation across diseases,,63.5,,,64.3,,,62.6,,,10.82,,,40,,,,,,,,,,,,,,,,,
Libya,5.8,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,63.77,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,20.42,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,5.0,,,,,,,,,,,,,,,0.4,,,0.9,,,62.1,,,62.5,,,61.7,,,4.1,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,,,,73,,,59,,,2.2,,,No data,,,,,,19.8,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,0.0,,,30.8,,,72,,,,,,5.7,,,62,,,38,,,73,,,59,,,34.0,,,451,Aggregation across diseases,,72.2,,,74.2,,,70.2,,,2.43,,,54,,,,,,,,,,,,,,,,,
Lithuania,16.84,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,78.43,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,61.04,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,6.0,Registration Eurostat,,22.1,,,,,,,,,0,Registration National Statistics & WPP2024,,,,,0.1,,,1.2,,,64.2,,,67.0,,,61.4,,,12.39,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,31.4,The most recent survey was conducted in 2021. This is a projection.,,100,Skilled health personnel Official Statistics Portal Lithuania; 2023 (https://lithuaniasdg-en-ls-osp-sdg.hub.arcgis.com/pages/goal-3 accessed 22 September 2023).,,90,,,28,,,2.6,,,<0.1,,,,,,19.8,,,12.2,,,3.4,,,86,,,39,,,1.9,,,75,,,87,,,82,,,8,,,6.3,,,89,Aggregation across diseases,,74.1,,,78.6,,,69.6,,,,,,43,,,,,,9.4,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,17,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
Luxembourg,9.74,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,137.21,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,29.84,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,2.8,Registration Eurostat,,8.2,,,4.34,,,0.22,,,0,Registration Eurostat,,,,,0.1,,,0.1,,,71.2,,,71.7,,,70.8,,,6.97,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,23.0,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2021. This is a projection.,,,,,99,,,7.3,,,1.9,,,<0.1,,,,,,7.8,,,10.8,,,2.3,,,90,,,13,,,1.6,,,≥80 ,Country index values of 80 and over are reported as ≥80 for presentation purposes and to avoid comparisons that are not meaningful given the inability of the index to adequately distinguish between countries with high level of service coverage provision.,,67,,,96,,,12,,,3.9,,,3,Aggregation across diseases,,82.8,,,84.8,,,80.8,,,,,,14,,,,,,4.7,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,10.9,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
Madagascar,0.08,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,2.81,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,1.72,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,143.0,Madagascar 2021 Demographic and Health Survey,,6.1,,,,,,,,,7.1,Madagascar 2021 Demographic and Health Survey,,64.7,2021.    Madagascar 2021 Demographic and Health Survey,,2.1,,,1.4,,,55.1,,,55.2,,,55.1,,,0.01,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,26.8,The most recent survey was conducted in 2021. This is a projection.,,46,"Doctors, nurses and midwives Institut National de la Statistique (INSTAT) et ICF. 2022. Enque?te De?mographique et de Sante? a? Madagascar, 2021. Antananarivo, Madagascar et Rockville, Maryland, USA : INSTAT et ICF.",,65,,,233,,,40.1,,,No data,,,200.02,,,25.9,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,0.9,,,64.8,,,47,,,209,,,23.8,,,35,,,59,,,73,,,445,,,22.5,,,21 278 009,Aggregation across diseases,,62.9,,,64.0,,,61.9,,,5.49,,,,,,,,,,,,,,,,,,,,
Malawi,0.05,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,5.07,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,0.54,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,135.6,Malawi 2019-2020 Multiple Indicator Cluster Survey,,7.6,,,2.91,,,0.41,,,2.0,Malawi 2019-2020 Multiple Indicator Cluster Survey,,77.3,2019-2020.    Malawi 2019-2020 Multiple Indicator Cluster Survey,,1.4,,,1.1,,,54.7,,,55.9,,,53.5,,,0.06,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,9.7,The most recent survey was conducted in 2019-20. This is a projection.,,96," National Statistical Office. 2021. Malawi Multiple Indicator Cluster Survey 2019-20, Survey Findings Report.
Zomba, Malawi: National Statistical Office.",,91,,,119,,,30.8,,,0.61,,,227.92,,,24.9,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,1.7,,,38.3,,,65,,,150,,,18.8,,,48,,,58,,,91,,,225,,,20.2,,,10 944 581,Aggregation across diseases,,62.5,,,65.3,,,59.7,,,9.11,,,27,,,,,,,,,,,,,,,,,
Malaysia,4.06,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,40.54,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,23.41,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,6.0,0,,5.7,,,1.52,,,0.13,,,0,Registration National Statistics & WPP2024,,49.6,2022. Data pertain to women currently married and currently cohabiting. Unmet need data do not necessarily correspond to the 2012 DHS definition.  Malaysia 2022 National Health and Morbidity Survey,,0.1,,,0.7,,,63.9,,,65.1,,,63.0,,,6.26,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,22.0,The most recent survey was conducted in 2019. This is a projection.,,100, Sustainable Development Goals (SDG) Indicators Malaysia 2022,,97,,,122,,,14.4,,,<0.1,,,0,,,19.9,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,0.8,,,8.1,,,96,,,80,,,4.1,,,76,,,87,,,95,,,26,,,13.9,,,111 680,Aggregation across diseases,,72.8,,,75.3,,,70.6,,,0.05,,,0,,,,,,,,,,,,,,,,,
Maldives,1.02,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,50.17,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,22.35,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,8.3,Registration National Statistics & WPP2024,,1.5,,,10.27,,,4.07,,,0.1,Registration National Statistics & WPP2024,,29.2,2016-2017.    Maldives 2016-2017 Demographic and Health Survey,,0.2,,,0.1,,,66.7,,,66.4,,,66.8,,,7.01,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,26.3,The most recent survey was conducted in 2020-21. This is a projection.,,100," Maldives Demographic and Health Survey 2016-2017. Malé, Rockville, Maryland: Ministry of Health (MOH) [Maldives], ICF; 208. ",,99,,,40,,,2.3,,,No data,,,,,,9.0,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,1.6,,,5.7,,,99,,,32,,,3.9,,,61,,,58,,,,,,32,,,1.3,,,3417,Aggregation across diseases,,75.4,,,76.6,,,74.5,,,0.99,,,61,,,,,,,,,,,,,,,,,
Mali,0.01,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,2.68,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,1.88,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,144.8,Mali 2021 Malaria Indicators Survey,,4.2,,,1.7,,,0.12,,,5.0,Mali 2021 Malaria Indicators Survey,,41.2,2018.    Mali 2018 Demographic and Health Survey,,4.6,,,1.2,,,53.6,,,53.1,,,54.0,,,0.75,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,8.0,The most recent survey was conducted in 2018. This is a projection.,,66,"Doctor, nurse/midwife Septième Enquête Démographique et de Santé au Mali 2023–2024. Indicateurs Clés. Bamako, Mali, et Rockville, Maryland, USA: INSTAT, CPS/SS-DS-PF, et ICF; 2024.",,77,,,48,,,66.1,,,0.24,,,346.22,,,23.0,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,3.6,,,91.3,,,59,,,174,,,32.4,,,41,,,46,,,77,,,367,,,20.2,,,11 060 297,Aggregation across diseases,,61.7,,,62.3,,,61.1,,,7.24,,,,,,,,,13.6,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,60.9,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,0,* data from only capital city ,
Malta,5.11,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,82.44,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,45.13,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,10.1,Registration Eurostat,,6.5,,,15.94,,,2.75,,,0,Registration Eurostat,,,,,0.2,,,0.1,,,70.7,,,71.0,,,70.4,,,15.26,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,24.7,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2019-20. This is a projection.,,100,"doctors, nurses, midwives or other health professionals providing childbirth care National Obstetric Information System, Directorate for Health Information and Research [Malta] 2022; 2023",,98,,,15,,,4.6,,,<0.1,,,,,,9.8,,,6.2,,,5.5,,,95,,,21,,,3.7,,,≥80 ,Country index values of 80 and over are reported as ≥80 for presentation purposes and to avoid comparisons that are not meaningful given the inability of the index to adequately distinguish between countries with high level of service coverage provision.,,69,,,97,,,8,,,1.9,,,0,Aggregation across diseases,,81.8,,,83.7,,,80.0,,,,,,73,,,,,,19.9,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,13.4,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
Marshall Islands,1.59,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,43.05,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,29.8,The most recent survey was conducted in 2017-18. This is a projection.,,92," Republic of the Marshall Islands Ministry of Health and Human Services, RMI Economic, Policy Planning and Statistics Office, UNICEF. Republic of the Marshall Islands Integrated Child Health and Nutrition Survey 2017, Final Report. Majuro: Republic of the Marshall Islands Ministry of Health and Human Services, RMI Economic, Policy Planning and Statistics Office; 2017. ",,85,,,692,,,,,,No data,,,,,,,,,,,,28.2,,,61,,,,,,13.0,,,59,,,55,,,62,,,155,,,11.9,,,19 594,Aggregation across diseases,,,,,,,,,,,29.7,,,27,,,,,,,,,,,,,,,,,
